Element ID;Tag name;Name;No. clicks;Visible?;Snapshot information
48;h1;ENIAC;269;TRUE;Homepage Version A - white SHOP NOW   •   https://eniac.com/index-a.php
25;div;mySidebar;309;TRUE;created 2021-09-14   •   14 days 0 hours 34 mins   •   25326 visits, 23174 clicks
4;a;Mac;279;TRUE;
69;a;iPhone;246;TRUE;
105;a;Accessories;1235;TRUE;
36;a;Chargers & Cables;1261;FALSE;
99;a;iPhone Accessories;1226;FALSE;
68;a;Watch Accessories;1261;FALSE;
13;a;Mac Accessories;1308;FALSE;
15;a;AirTag;206;FALSE;
9;a;iPad;186;TRUE;
52;a;Watch;212;TRUE;
33;a;Storage;198;TRUE;
90;a;Services;177;TRUE;
59;a;Contact;266;TRUE;
17;a;Newsletter;56;TRUE;
74;a;Subscribe;56;TRUE;
18;div;w3-padding-64;324;TRUE;
88;div;w3-display-container;312;TRUE;
76;img;Jeans;924;TRUE;
20;div;w3-display-topleft;327;TRUE;
106;a;SHOP NOW;512;TRUE;
72;img;iphone13_cover;877;TRUE;
46;img;abstract-case;912;TRUE;
6;img;airpods;921;TRUE;
16;img;watch-lgtb;843;TRUE;
30;img;blue-strap;852;TRUE;
108;img;cartoon-case;903;TRUE;
117;img;hermes-case;912;TRUE;
111;img;leopard-case;874;TRUE;
125;img;magnetic-case;849;TRUE;
103;input;Enter e-mail;209;TRUE;
39;button;Subscribe;54;TRUE;
7;div;w3-input;291;TRUE;
81;h4;Contact;298;TRUE;
82;input;Name;214;TRUE;
120;input;Email;208;TRUE;
119;input;Subject;201;TRUE;
32;input;Message;195;TRUE;
73;button;Send;188;TRUE;
67;a;About us;28;TRUE;
54;a;We're hiring;41;TRUE;
84;a;Support;48;TRUE;
34;a;Find store;39;TRUE;
27;a;Shipment;52;TRUE;
21;a;Payment;32;TRUE;
64;a;Gift card;41;TRUE;
113;a;Return;42;TRUE;
53;a;Help;43;TRUE;
60;a;telphone-contact;105;TRUE;
71;a;email-contact;112;TRUE;
8;a;Facebook;278;TRUE;
96;a;Instagram;247;TRUE;
114;a;Snapchat;289;TRUE;
40;a;Pinterest;276;TRUE;
26;a;Twitter;266;TRUE;
98;a;LinkedIn;284;TRUE;
