Element ID;Tag name;Name;No. clicks;Visible?;Snapshot information
48;h1;ENIAC;236;TRUE;Homepage Version B - red SHOP NOW   •   https://eniac.com/index-b.php
25;div;mySidebar;304;TRUE;created 2021-10-27   •   14 days 0 hours 34 mins   •   24747 visits, 22407 clicks
4;a;Mac;268;TRUE;
69;a;iPhone;260;TRUE;
105;a;Accessories;1214;TRUE;
36;a;Chargers & Cables;1259;FALSE;
99;a;iPhone Accessories;1237;FALSE;
68;a;Watch Accessories;1221;FALSE;
13;a;Mac Accessories;1210;FALSE;
15;a;AirTag;195;FALSE;
9;a;iPad;219;TRUE;
52;a;Watch;209;TRUE;
33;a;Storage;203;TRUE;
90;a;Services;170;TRUE;
59;a;Contact;258;TRUE;
17;a;Newsletter;53;TRUE;
74;a;Subscribe;48;TRUE;
18;div;w3-padding-64;294;TRUE;
88;div;w3-display-container;293;TRUE;
76;img;Jeans;893;TRUE;
20;div;w3-display-topleft;298;TRUE;
126;a;SHOP NOW;281;TRUE;
72;img;iphone13_cover;860;TRUE;
46;img;abstract-case;879;TRUE;
6;img;airpods;881;TRUE;
16;img;watch-lgtb;863;TRUE;
30;img;blue-strap;882;TRUE;
108;img;cartoon-case;886;TRUE;
117;img;hermes-case;824;TRUE;
111;img;leopard-case;843;TRUE;
125;img;magnetic-case;872;TRUE;
103;input;Enter e-mail;208;TRUE;
39;button;Subscribe;51;TRUE;
7;div;w3-input;285;TRUE;
81;h4;Contact;281;TRUE;
82;input;Name;206;TRUE;
120;input;Email;198;TRUE;
119;input;Subject;195;TRUE;
32;input;Message;193;TRUE;
73;button;Send;192;TRUE;
67;a;About us;37;TRUE;
54;a;We're hiring;51;TRUE;
84;a;Support;38;TRUE;
34;a;Find store;32;TRUE;
27;a;Shipment;31;TRUE;
21;a;Payment;37;TRUE;
64;a;Gift card;35;TRUE;
113;a;Return;28;TRUE;
53;a;Help;39;TRUE;
60;a;telphone-contact;108;TRUE;
71;a;email-contact;104;TRUE;
8;a;Facebook;275;TRUE;
96;a;Instagram;288;TRUE;
114;a;Snapchat;241;TRUE;
40;a;Pinterest;282;TRUE;
26;a;Twitter;295;TRUE;
98;a;LinkedIn;264;TRUE;
