Element ID;Tag name;Name;No. clicks;Visible?;Snapshot information
48;h1;ENIAC;288;TRUE;Homepage Version C - white SEE DEALS   •   https://eniac.com/index-c.php
25;div;mySidebar;283;TRUE;created 2021-10-27   •   14 days 0 hours 34 mins   •   24876 visits, 23031 clicks
4;a;Mac;262;TRUE;
69;a;iPhone;234;TRUE;
105;a;Accessories;1288;TRUE;
36;a;Chargers & Cables;1224;FALSE;
99;a;iPhone Accessories;1175;FALSE;
68;a;Watch Accessories;1264;FALSE;
13;a;Mac Accessories;1203;FALSE;
15;a;AirTag;202;FALSE;
9;a;iPad;228;TRUE;
52;a;Watch;203;TRUE;
33;a;Storage;173;TRUE;
90;a;Services;186;TRUE;
59;a;Contact;237;TRUE;
17;a;Newsletter;55;TRUE;
74;a;Subscribe;39;TRUE;
18;div;w3-padding-64;290;TRUE;
88;div;w3-display-container;288;TRUE;
76;img;Jeans;861;TRUE;
20;div;w3-display-topleft;317;TRUE;
127;a;SEE DEALS;527;TRUE;
72;img;iphone13_cover;890;TRUE;
46;img;abstract-case;906;TRUE;
6;img;airpods;928;TRUE;
16;img;watch-lgtb;931;TRUE;
30;img;blue-strap;903;TRUE;
108;img;cartoon-case;861;TRUE;
117;img;hermes-case;891;TRUE;
111;img;leopard-case;879;TRUE;
125;img;magnetic-case;884;TRUE;
103;input;Enter e-mail;227;TRUE;
39;button;Subscribe;41;TRUE;
7;div;w3-input;328;TRUE;
81;h4;Contact;269;TRUE;
82;input;Name;211;TRUE;
120;input;Email;210;TRUE;
119;input;Subject;205;TRUE;
32;input;Message;204;TRUE;
73;button;Send;201;TRUE;
67;a;About us;38;TRUE;
54;a;We're hiring;34;TRUE;
84;a;Support;43;TRUE;
34;a;Find store;34;TRUE;
27;a;Shipment;28;TRUE;
21;a;Payment;26;TRUE;
64;a;Gift card;35;TRUE;
113;a;Return;38;TRUE;
53;a;Help;36;TRUE;
60;a;telphone-contact;117;TRUE;
71;a;email-contact;107;TRUE;
8;a;Facebook;315;TRUE;
96;a;Instagram;269;TRUE;
114;a;Snapchat;267;TRUE;
40;a;Pinterest;278;TRUE;
26;a;Twitter;288;TRUE;
98;a;LinkedIn;282;TRUE;
